Name,Address,Category,Rating,Reviews,PlaceID,Lat,Lng
"Radhe Indian SuperMarket","9520 Charlotte Hwy, Fort Mill, SC 29707, USA","grocery_store",4.7,86,ChIJ7VajzF-DVogRullBwlevytQ,34.993170899999996,-80.8534541
"ALDI","2909 Providence Rd S, Waxhaw, NC 28173, USA","grocery_store",4.5,246,ChIJ54DKErMpVIgRo75Oq7y-Fh0,34.961003999999996,-80.76029199999999
"Food Lion","1301 N Broome St, Waxhaw, NC 28173, USA","grocery_store",4.4,392,ChIJ7wZmX8ErVIgR61xewL9fgFk,34.93419780000001,-80.7511291
"Food Lion","8175 Charlotte Hwy, Fort Mill, SC 29707, USA","grocery_store",4.5,618,ChIJBR_kXoSBVogRQyAkJ9fTJ-c,34.9491666,-80.8484799
"Target","9870 Rea Rd, Charlotte, NC 28277, USA","store",3.8,469,ChIJ3Zq9lQEoVIgRhY0hgofgiBs,35.0374918,-80.80770059999999
"Marshalls & HomeGoods","9876-B Rea Rd, Charlotte, NC 28277, USA","store",4,1476,ChIJP6plGwIoVIgRke2f0QU3fqM,35.036159,-80.809311
"Target","6350 Weddington Rd, Wesley Chapel, NC 28104, USA","store",4.2,487,ChIJ4dFrcRcvVIgRkr36upyQT_0,34.999493699999995,-80.6966638
"Lowe's Home Improvement","181 Fort Mill Hwy, Indian Land, SC 29707, USA","store",4.1,1679,ChIJk-9aD6qDVogRAxJoSeoePvg,35.000057,-80.858481
"Costco Wholesale","8800 Charlotte Hwy, Indian Land, SC 29707, USA","store",4.5,310,ChIJJdt4RgCDVogRx-y2AoLwX2A,34.9700266,-80.8519389
"Kohl's","601 Sherman Pl, Waxhaw, NC 28173, USA","store",4.4,1270,ChIJGdV9D5wuVIgR6ONWHGtNqr0,35.016923,-80.8010406
"Lowe's Home Improvement","2508 Cuthbertson Rd, Waxhaw, NC 28173, USA","store",4.2,1174,ChIJ2fRxt3ApVIgRgXmfc_X1vuM,34.962629,-80.75961099999999
"Southern Spirits - World's 2nd Best Liquor Store (Beer, Wine, THC, Liquor Store)","9989 Charlotte Hwy, Indian Land, SC 29707, USA","store",4.6,1859,ChIJx-qMdwKDVogRHLAgf1MNUlc,35.008877,-80.8542983
"Best Buy","9839 Rea Rd, Charlotte, NC 28277, USA","store",4.1,1911,ChIJK9ncPwQoVIgRm99b_WDXtJo,35.0345734,-80.80337949999999
"Hobby Lobby","7816 Charlotte Hwy, Indian Land, SC 29707, USA","store",4.6,1296,ChIJ8zJTOFuBVogRuRI7RvKkWLA,34.9403864,-80.8352922
"Stonebridge Golf Club","2721 Swilcan Burns Drive, Monroe, NC 28112, USA","store",4.4,364,ChIJ07ciSwAyVIgRs37Vuzt7yTw,34.9386935,-80.63171210000002
"T.J. Maxx","7804 Charlotte Hwy, Fort Mill, SC 29707, USA","store",4.3,481,ChIJY2SUDq2BVogR4COoBUjT0uU,34.939599,-80.83510299999999
"Blakeney Town Center","9870 Rea Rd, Charlotte, NC 28277, USA","shopping_mall",4.5,2734,ChIJ3Zq9lQEoVIgRYe1l2L-AaQs,35.0348188,-80.8064721
"Waverly","Ardrey Kell Rd, Charlotte, NC 28277, USA","shopping_mall",4.5,1856,ChIJrWbMas0nVIgRSN6QTc76W1o,35.0519044,-80.7680542
"Rea Farms","9930 Sandy Rock Pl, Charlotte, NC 28277, USA","shopping_mall",4.5,265,ChIJhwWdLQonVIgRExYYZFwOXT8,35.0506613,-80.77412489999999
"Cureton Town Center","8157 Kensington Dr, Waxhaw, NC 28173, USA","shopping_mall",4.4,685,ChIJVVIJQHwpVIgRzFgPnX1KvKE,34.954413699999996,-80.75870809999999
"Promenade at Carolina Reserve","US 521 at, Jim Wilson Rd, Indian Land, SC 29707, USA","shopping_mall",4.4,860,ChIJReKqQk2BVogRWyFJQw2-NJQ,34.9397713,-80.8356354
